node_id:ID,descriptive_label:string[],iri,:LABEL
obo.BFO_0000018,zero-dimensional spatial region,http://purl.obolibrary.org/obo/BFO_0000018,Concept
obo.BFO_0000024,fiat object;fiat object part,http://purl.obolibrary.org/obo/BFO_0000024,Concept
obo.BFO_0000040,material entity;material entity,http://purl.obolibrary.org/obo/BFO_0000040,Concept
obo.BFO_0000026,one-dimensional spatial region,http://purl.obolibrary.org/obo/BFO_0000026,Concept
obo.BFO_0000027,object aggregate,http://purl.obolibrary.org/obo/BFO_0000027,Concept
obo.BFO_0000034,function,http://purl.obolibrary.org/obo/BFO_0000034,Concept
obo.BFO_0000038,one-dimensional temporal region,http://purl.obolibrary.org/obo/BFO_0000038,Concept
obo.BFO_0000148,zero-dimensional temporal region,http://purl.obolibrary.org/obo/BFO_0000148,Concept
obo.BFO_0000144,process profile,http://purl.obolibrary.org/obo/BFO_0000144,Concept
obo.BFO_0000182,history,http://purl.obolibrary.org/obo/BFO_0000182,Concept
obo.BFO_0000145,relational quality,http://purl.obolibrary.org/obo/BFO_0000145,Concept
obo.BTO_0000058,alimentary canal,http://purl.obolibrary.org/obo/BTO_0000058,Concept
obo.FOODON_03420127,animal body or body part,http://purl.obolibrary.org/obo/FOODON_03420127,Concept
obo.FOODON_03420164,part of animal,http://purl.obolibrary.org/obo/FOODON_03420164,Concept
obo.BTO_0000262,clove,http://purl.obolibrary.org/obo/BTO_0000262,Concept
obo.PO_0009011,plant structure,http://purl.obolibrary.org/obo/PO_0009011,Concept
obo.FOODON_03420116,part of organism,http://purl.obolibrary.org/obo/FOODON_03420116,Concept
obo.PO_0025131,plant anatomical entity,http://purl.obolibrary.org/obo/PO_0025131,Concept
obo.BTO_0001217,scape,http://purl.obolibrary.org/obo/BTO_0001217,Concept
obo.CDNO_0000001,,http://purl.obolibrary.org/obo/CDNO_0000001,Concept
obo.FOODON_03411041,chemical food component,http://purl.obolibrary.org/obo/FOODON_03411041,Concept
obo.CDNO_0000002,,http://purl.obolibrary.org/obo/CDNO_0000002,Concept
obo.CDNO_0000003,,http://purl.obolibrary.org/obo/CDNO_0000003,Concept
obo.CHEBI_16646,,http://purl.obolibrary.org/obo/CHEBI_16646,Concept
obo.CHEBI_78616,carbohydrates and carbohydrate derivatives,http://purl.obolibrary.org/obo/CHEBI_78616,Concept
obo.FOODON_03420152,"carbohydrate extract, concentrate, or isolate",http://purl.obolibrary.org/obo/FOODON_03420152,Concept
obo.CDNO_0000004,,http://purl.obolibrary.org/obo/CDNO_0000004,Concept
obo.CDNO_0000005,,http://purl.obolibrary.org/obo/CDNO_0000005,Concept
obo.CDNO_0000006,,http://purl.obolibrary.org/obo/CDNO_0000006,Concept
obo.CDNO_0000007,,http://purl.obolibrary.org/obo/CDNO_0000007,Concept
obo.CDNO_0000008,,http://purl.obolibrary.org/obo/CDNO_0000008,Concept
obo.CDNO_0000009,,http://purl.obolibrary.org/obo/CDNO_0000009,Concept
obo.CHEBI_36080,protein,http://purl.obolibrary.org/obo/CHEBI_36080,Concept
obo.CHEBI_33695,information biomacromolecule,http://purl.obolibrary.org/obo/CHEBI_33695,Concept
obo.CDNO_0000011,,http://purl.obolibrary.org/obo/CDNO_0000011,Concept
obo.CHEBI_167164,mineral nutrient,http://purl.obolibrary.org/obo/CHEBI_167164,Concept
obo.CHEBI_46662,mineral,http://purl.obolibrary.org/obo/CHEBI_46662,Concept
obo.CDNO_0000012,,http://purl.obolibrary.org/obo/CDNO_0000012,Concept
obo.CDNO_0000013,,http://purl.obolibrary.org/obo/CDNO_0000013,Concept
obo.CDNO_0000014,,http://purl.obolibrary.org/obo/CDNO_0000014,Concept
obo.CDNO_0000015,,http://purl.obolibrary.org/obo/CDNO_0000015,Concept
obo.CDNO_0000016,,http://purl.obolibrary.org/obo/CDNO_0000016,Concept
obo.CDNO_0000017,,http://purl.obolibrary.org/obo/CDNO_0000017,Concept
obo.CDNO_0000018,,http://purl.obolibrary.org/obo/CDNO_0000018,Concept
obo.CDNO_0000019,,http://purl.obolibrary.org/obo/CDNO_0000019,Concept
obo.CDNO_0000020,,http://purl.obolibrary.org/obo/CDNO_0000020,Concept
obo.CDNO_0000021,,http://purl.obolibrary.org/obo/CDNO_0000021,Concept
obo.CDNO_0000022,,http://purl.obolibrary.org/obo/CDNO_0000022,Concept
obo.CDNO_0000023,,http://purl.obolibrary.org/obo/CDNO_0000023,Concept
obo.CDNO_0000024,,http://purl.obolibrary.org/obo/CDNO_0000024,Concept
obo.CDNO_0000025,,http://purl.obolibrary.org/obo/CDNO_0000025,Concept
obo.CDNO_0000026,,http://purl.obolibrary.org/obo/CDNO_0000026,Concept
obo.CDNO_0000027,,http://purl.obolibrary.org/obo/CDNO_0000027,Concept
obo.CDNO_0000028,,http://purl.obolibrary.org/obo/CDNO_0000028,Concept
obo.CDNO_0000029,,http://purl.obolibrary.org/obo/CDNO_0000029,Concept
obo.CDNO_0000030,,http://purl.obolibrary.org/obo/CDNO_0000030,Concept
obo.CDNO_0000031,,http://purl.obolibrary.org/obo/CDNO_0000031,Concept
obo.CHEBI_18154,,http://purl.obolibrary.org/obo/CHEBI_18154,Concept
obo.CHEBI_167559,glycan,http://purl.obolibrary.org/obo/CHEBI_167559,Concept
obo.CHEBI_33694,biomacromolecule,http://purl.obolibrary.org/obo/CHEBI_33694,Concept
obo.CDNO_0100001,amylopectin derived from starch,http://purl.obolibrary.org/obo/CDNO_0100001,Concept
AND_1,,,AND
obo.CHEBI_28057,,http://purl.obolibrary.org/obo/CHEBI_28057,Concept
BLANK_3,,,BLANK
obo.CHEBI_28017,starch,http://purl.obolibrary.org/obo/CHEBI_28017,Concept
obo.CHEBI_37163,glucan,http://purl.obolibrary.org/obo/CHEBI_37163,Concept
obo.CDNO_0100002,amylose derived from starch,http://purl.obolibrary.org/obo/CDNO_0100002,Concept
AND_2,,,AND
obo.CHEBI_28102,,http://purl.obolibrary.org/obo/CHEBI_28102,Concept
BLANK_4,,,BLANK
obo.CDNO_0100003,galacturonan derived from pectin,http://purl.obolibrary.org/obo/CDNO_0100003,Concept
AND_3,,,AND
obo.CHEBI_24174,,http://purl.obolibrary.org/obo/CHEBI_24174,Concept
BLANK_5,,,BLANK
obo.CHEBI_17309,pectin,http://purl.obolibrary.org/obo/CHEBI_17309,Concept
obo.FOODON_00002108,pectin producing plant fruit food product,http://purl.obolibrary.org/obo/FOODON_00002108,Concept
obo.FOODON_03412972,food additive,http://purl.obolibrary.org/obo/FOODON_03412972,Concept
obo.CDNO_0100004,rhamnogalacturonan derived from pectin,http://purl.obolibrary.org/obo/CDNO_0100004,Concept
AND_4,,,AND
obo.CHEBI_26543,,http://purl.obolibrary.org/obo/CHEBI_26543,Concept
BLANK_6,,,BLANK
obo.CDNO_0100005,mannan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100005,Concept
AND_5,,,AND
obo.CHEBI_28808,,http://purl.obolibrary.org/obo/CHEBI_28808,Concept
BLANK_7,,,BLANK
obo.CHEBI_61266,hemicellulose;hemicellulose,http://purl.obolibrary.org/obo/CHEBI_61266,Concept
obo.CDNO_0100006,xylan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100006,Concept
AND_6,,,AND
obo.CHEBI_37166,,http://purl.obolibrary.org/obo/CHEBI_37166,Concept
BLANK_8,,,BLANK
obo.CDNO_0100007,xyloglucan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100007,Concept
AND_7,,,AND
obo.CHEBI_18233,,http://purl.obolibrary.org/obo/CHEBI_18233,Concept
BLANK_9,,,BLANK
obo.CDNO_0100008,glucomannan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100008,Concept
AND_8,,,AND
obo.CHEBI_17020,,http://purl.obolibrary.org/obo/CHEBI_17020,Concept
BLANK_10,,,BLANK
obo.CDNO_0100009,arabinoxylan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100009,Concept
AND_9,,,AND
obo.CHEBI_28427,,http://purl.obolibrary.org/obo/CHEBI_28427,Concept
BLANK_11,,,BLANK
obo.CDNO_0100010,fructan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100010,Concept
AND_10,,,AND
obo.CHEBI_28796,,http://purl.obolibrary.org/obo/CHEBI_28796,Concept
BLANK_12,,,BLANK
obo.CDNO_0100011,arabinan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100011,Concept
AND_11,,,AND
obo.CHEBI_22590,,http://purl.obolibrary.org/obo/CHEBI_22590,Concept
BLANK_13,,,BLANK
obo.CDNO_0100012,galactomannan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100012,Concept
AND_12,,,AND
obo.CHEBI_27680,,http://purl.obolibrary.org/obo/CHEBI_27680,Concept
BLANK_14,,,BLANK
obo.CDNO_0100013,galactan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100013,Concept
AND_13,,,AND
obo.CHEBI_37165,,http://purl.obolibrary.org/obo/CHEBI_37165,Concept
BLANK_15,,,BLANK
obo.CDNO_0100014,glucose derived from amylopectin derived from starch,http://purl.obolibrary.org/obo/CDNO_0100014,Concept
AND_14,,,AND
obo.CHEBI_17234,,http://purl.obolibrary.org/obo/CHEBI_17234,Concept
BLANK_16,,,BLANK
obo.CHEBI_33917,aldohexose,http://purl.obolibrary.org/obo/CHEBI_33917,Concept
obo.CDNO_0100015,glucose derived from amylose derived from starch,http://purl.obolibrary.org/obo/CDNO_0100015,Concept
AND_15,,,AND
BLANK_17,,,BLANK
obo.CDNO_0100016,glucose derived from sucrose,http://purl.obolibrary.org/obo/CDNO_0100016,Concept
AND_16,,,AND
BLANK_18,,,BLANK
obo.CHEBI_17992,,http://purl.obolibrary.org/obo/CHEBI_17992,Concept
obo.CHEBI_24407,glycosyl glycoside,http://purl.obolibrary.org/obo/CHEBI_24407,Concept
obo.FOODON_03420108,sugar,http://purl.obolibrary.org/obo/FOODON_03420108,Concept
obo.CDNO_0100017,fructose derived from sucrose,http://purl.obolibrary.org/obo/CDNO_0100017,Concept
AND_17,,,AND
obo.CHEBI_28757,,http://purl.obolibrary.org/obo/CHEBI_28757,Concept
BLANK_19,,,BLANK
obo.CHEBI_24973,,http://purl.obolibrary.org/obo/CHEBI_24973,Concept
obo.FOODON_00002157,plant sweetener,http://purl.obolibrary.org/obo/FOODON_00002157,Concept
obo.CDNO_0100018,glucose derived from maltose,http://purl.obolibrary.org/obo/CDNO_0100018,Concept
AND_18,,,AND
BLANK_20,,,BLANK
obo.CHEBI_17306,maltose,http://purl.obolibrary.org/obo/CHEBI_17306,Concept
obo.CHEBI_17593,maltooligosaccharide,http://purl.obolibrary.org/obo/CHEBI_17593,Concept
obo.CHEBI_24405,glycosylglucose,http://purl.obolibrary.org/obo/CHEBI_24405,Concept
obo.CDNO_0100019,galacturonic acid derived from galacturonan derived from pectin,http://purl.obolibrary.org/obo/CDNO_0100019,Concept
AND_19,,,AND
obo.CHEBI_33830,,http://purl.obolibrary.org/obo/CHEBI_33830,Concept
BLANK_21,,,BLANK
obo.CHEBI_35381,,http://purl.obolibrary.org/obo/CHEBI_35381,Concept
obo.CDNO_0100020,rhamnose derived from rhamnogalacturonan derived from pectin,http://purl.obolibrary.org/obo/CDNO_0100020,Concept
AND_20,,,AND
obo.CHEBI_26546,,http://purl.obolibrary.org/obo/CHEBI_26546,Concept
BLANK_22,,,BLANK
obo.CDNO_0100021,D-apiose derived from rhamnogalacturonan derived from pectin,http://purl.obolibrary.org/obo/CDNO_0100021,Concept
AND_21,,,AND
obo.CHEBI_16689,,http://purl.obolibrary.org/obo/CHEBI_16689,Concept
BLANK_23,,,BLANK
obo.CDNO_0100022,galacturonic acid derived from rhamnogalacturonan derived from pectin,http://purl.obolibrary.org/obo/CDNO_0100022,Concept
AND_22,,,AND
BLANK_24,,,BLANK
obo.CDNO_0100023,fucose derived from rhamnogalacturonan derived from pectin,http://purl.obolibrary.org/obo/CDNO_0100023,Concept
AND_23,,,AND
obo.CHEBI_33984,,http://purl.obolibrary.org/obo/CHEBI_33984,Concept
BLANK_25,,,BLANK
obo.CDNO_0100024,xylose derived from rhamnogalacturonan derived from pectin,http://purl.obolibrary.org/obo/CDNO_0100024,Concept
AND_24,,,AND
obo.CHEBI_18222,,http://purl.obolibrary.org/obo/CHEBI_18222,Concept
BLANK_26,,,BLANK
obo.CDNO_0100025,arabinose derived from rhamnogalacturonan derived from pectin,http://purl.obolibrary.org/obo/CDNO_0100025,Concept
AND_25,,,AND
obo.CHEBI_22599,,http://purl.obolibrary.org/obo/CHEBI_22599,Concept
BLANK_27,,,BLANK
obo.CDNO_0100026,galactose derived from rhamnogalacturonan derived from pectin,http://purl.obolibrary.org/obo/CDNO_0100026,Concept
AND_26,,,AND
obo.CHEBI_28260,,http://purl.obolibrary.org/obo/CHEBI_28260,Concept
BLANK_28,,,BLANK
obo.CDNO_0100027,raffinose derived from raffinose family oligosaccharide,http://purl.obolibrary.org/obo/CDNO_0100027,Concept
AND_27,,,AND
obo.CHEBI_16634,,http://purl.obolibrary.org/obo/CHEBI_16634,Concept
BLANK_29,,,BLANK
obo.CHEBI_74961,,http://purl.obolibrary.org/obo/CHEBI_74961,Concept
obo.CHEBI_50699,oligosaccharide,http://purl.obolibrary.org/obo/CHEBI_50699,Concept
obo.CDNO_0100028,galactose derived from raffinose derived from raffinose family oligosaccharide,http://purl.obolibrary.org/obo/CDNO_0100028,Concept
AND_28,,,AND
BLANK_30,,,BLANK
obo.CDNO_0100029,glucose derived from raffinose derived from raffinose family oligosaccharide,http://purl.obolibrary.org/obo/CDNO_0100029,Concept
AND_29,,,AND
BLANK_31,,,BLANK
obo.CDNO_0100030,fructose derived from raffinose derived from raffinose family oligosaccharide,http://purl.obolibrary.org/obo/CDNO_0100030,Concept
AND_30,,,AND
BLANK_32,,,BLANK
obo.CDNO_0100031,stachyose derived from raffinose family oligosaccharide,http://purl.obolibrary.org/obo/CDNO_0100031,Concept
AND_31,,,AND
obo.CHEBI_17164,,http://purl.obolibrary.org/obo/CHEBI_17164,Concept
BLANK_33,,,BLANK
obo.CDNO_0100032,galactose derived from stachyose derived from raffinose family oligosaccharide,http://purl.obolibrary.org/obo/CDNO_0100032,Concept
AND_32,,,AND
BLANK_34,,,BLANK
obo.CDNO_0100033,glucose derived from stachyose derived from raffinose family oligosaccharidee,http://purl.obolibrary.org/obo/CDNO_0100033,Concept
AND_33,,,AND
BLANK_35,,,BLANK
obo.CDNO_0100034,fructose derived from stachyose derived from raffinose family oligosaccharide,http://purl.obolibrary.org/obo/CDNO_0100034,Concept
AND_34,,,AND
BLANK_36,,,BLANK
obo.CDNO_0100035,verbascose derived from raffinose family oligosaccharide,http://purl.obolibrary.org/obo/CDNO_0100035,Concept
AND_35,,,AND
obo.CHEBI_28586,,http://purl.obolibrary.org/obo/CHEBI_28586,Concept
BLANK_37,,,BLANK
obo.CDNO_0100036,galactose derived from verbascose derived from raffinose family oligosaccharide,http://purl.obolibrary.org/obo/CDNO_0100036,Concept
AND_36,,,AND
BLANK_38,,,BLANK
obo.CDNO_0100037,glucose derived from verbascose derived from raffinose family oligosaccharide,http://purl.obolibrary.org/obo/CDNO_0100037,Concept
AND_37,,,AND
BLANK_39,,,BLANK
obo.CDNO_0100038,fructose derived from verbascose derived from raffinose family oligosaccharide,http://purl.obolibrary.org/obo/CDNO_0100038,Concept
AND_38,,,AND
BLANK_40,,,BLANK
obo.CDNO_0100039,glucose derived from amorphous cellulose,http://purl.obolibrary.org/obo/CDNO_0100039,Concept
AND_39,,,AND
BLANK_41,,,BLANK
obo.CHEBI_62967,,http://purl.obolibrary.org/obo/CHEBI_62967,Concept
obo.CDNO_0100040,mannose derived from mannan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100040,Concept
AND_40,,,AND
obo.CHEBI_37684,,http://purl.obolibrary.org/obo/CHEBI_37684,Concept
BLANK_42,,,BLANK
obo.CDNO_0100041,glucose derived from xylan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100041,Concept
AND_41,,,AND
BLANK_43,,,BLANK
obo.CDNO_0100042,xylose derived from xylan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100042,Concept
AND_42,,,AND
BLANK_44,,,BLANK
obo.CDNO_0100043,glucose derived from xyloglucan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100043,Concept
AND_43,,,AND
BLANK_45,,,BLANK
obo.CDNO_0100044,xylose derived from xyloglucan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100044,Concept
AND_44,,,AND
BLANK_46,,,BLANK
obo.CDNO_0100045,glucose derived from glucomannan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100045,Concept
AND_45,,,AND
BLANK_47,,,BLANK
obo.CDNO_0100046,mannose derived from glucomannan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100046,Concept
AND_46,,,AND
BLANK_48,,,BLANK
obo.CDNO_0100047,arabinose derived from arabinoxylan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100047,Concept
AND_47,,,AND
BLANK_49,,,BLANK
obo.CDNO_0100048,xylose derived from arabinoxylan derived from hemicellulose,http://purl.obolibrary.org/obo/CDNO_0100048,Concept
AND_48,,,AND
BLANK_50,,,BLANK
obo.CDNO_0100049,inulin derived from fructan,http://purl.obolibrary.org/obo/CDNO_0100049,Concept
AND_49,,,AND
obo.CHEBI_15443,,http://purl.obolibrary.org/obo/CHEBI_15443,Concept
BLANK_51,,,BLANK
obo.CDNO_0100050,fructose derived from inulin derived from fructan,http://purl.obolibrary.org/obo/CDNO_0100050,Concept
AND_50,,,AND
BLANK_52,,,BLANK
obo.CDNO_0100051,amino acid derived from protein,http://purl.obolibrary.org/obo/CDNO_0100051,Concept
AND_51,,,AND
obo.CHEBI_33709,amino acid,http://purl.obolibrary.org/obo/CHEBI_33709,Concept
BLANK_53,,,BLANK
obo.CHEBI_33575,carboxylic acid,http://purl.obolibrary.org/obo/CHEBI_33575,Concept
obo.CHEBI_50047,organic amino compound,http://purl.obolibrary.org/obo/CHEBI_50047,Concept
obo.CDNO_0200001,concentration of dietary chemical component in material entity,http://purl.obolibrary.org/obo/CDNO_0200001,Concept
AND_52,,,AND
obo.PATO_0000033,concentration of,http://purl.obolibrary.org/obo/PATO_0000033,Concept
BLANK_54,,,BLANK
AND_53,,,AND
BLANK_55,,,BLANK
obo.PATO_0002182,molecular quality,http://purl.obolibrary.org/obo/PATO_0002182,Concept
obo.CDNO_0200002,concentration of water in material entity,http://purl.obolibrary.org/obo/CDNO_0200002,Concept
AND_54,,,AND
BLANK_56,,,BLANK
AND_55,,,AND
obo.CHEBI_15377,,http://purl.obolibrary.org/obo/CHEBI_15377,Concept
BLANK_57,,,BLANK
obo.CDNO_0200003,concentration of dry plant matter in material entity,http://purl.obolibrary.org/obo/CDNO_0200003,Concept
AND_56,,,AND
BLANK_58,,,BLANK
AND_57,,,AND
BLANK_59,,,BLANK
obo.CDNO_0200004,concentration of ash in material entity,http://purl.obolibrary.org/obo/CDNO_0200004,Concept
AND_58,,,AND
BLANK_60,,,BLANK
AND_59,,,AND
obo.ENVO_02000090,,http://purl.obolibrary.org/obo/ENVO_02000090,Concept
BLANK_61,,,BLANK
obo.ENVO_01000814,solid environmental material,http://purl.obolibrary.org/obo/ENVO_01000814,Concept
obo.CDNO_0200005,concentration of carbohydrate in material entity,http://purl.obolibrary.org/obo/CDNO_0200005,Concept
AND_60,,,AND
BLANK_62,,,BLANK
AND_61,,,AND
BLANK_63,,,BLANK
obo.CDNO_0200006,concentration of polysaccharide in material entity,http://purl.obolibrary.org/obo/CDNO_0200006,Concept
AND_62,,,AND
BLANK_64,,,BLANK
AND_63,,,AND
BLANK_65,,,BLANK
obo.CDNO_0200007,concentration of starch in material entity,http://purl.obolibrary.org/obo/CDNO_0200007,Concept
AND_64,,,AND
BLANK_66,,,BLANK
AND_65,,,AND
BLANK_67,,,BLANK
obo.CDNO_0200033,concentration of available carbohydrate in material entity,http://purl.obolibrary.org/obo/CDNO_0200033,Concept
AND_66,,,AND
BLANK_68,,,BLANK
AND_67,,,AND
BLANK_69,,,BLANK
obo.CDNO_0200468,concentration of glucan in material entity,http://purl.obolibrary.org/obo/CDNO_0200468,Concept
AND_68,,,AND
BLANK_70,,,BLANK
AND_69,,,AND
BLANK_71,,,BLANK
obo.CDNO_0200008,concentration of pectin in material entity,http://purl.obolibrary.org/obo/CDNO_0200008,Concept
AND_70,,,AND
BLANK_72,,,BLANK
AND_71,,,AND
BLANK_73,,,BLANK
obo.CDNO_0200036,concentration of soluble dietary fibre in material entity,http://purl.obolibrary.org/obo/CDNO_0200036,Concept
AND_72,,,AND
BLANK_74,,,BLANK
AND_73,,,AND
BLANK_75,,,BLANK
obo.CDNO_0200455,concentration of galacturonan in material entity,http://purl.obolibrary.org/obo/CDNO_0200455,Concept
AND_74,,,AND
BLANK_76,,,BLANK
AND_75,,,AND
BLANK_77,,,BLANK
obo.CDNO_0200009,concentration of amorphous cellulose in material entity,http://purl.obolibrary.org/obo/CDNO_0200009,Concept
AND_76,,,AND
BLANK_78,,,BLANK
AND_77,,,AND
BLANK_79,,,BLANK
obo.CDNO_0200038,concentration of insoluble dietary fibre in material entity,http://purl.obolibrary.org/obo/CDNO_0200038,Concept
AND_78,,,AND
BLANK_80,,,BLANK
AND_79,,,AND
BLANK_81,,,BLANK
obo.CDNO_0200010,concentration of hemicellulose in material entity,http://purl.obolibrary.org/obo/CDNO_0200010,Concept
AND_80,,,AND
BLANK_82,,,BLANK
AND_81,,,AND
BLANK_83,,,BLANK
obo.CDNO_0200011,concentration of inulin in material entity,http://purl.obolibrary.org/obo/CDNO_0200011,Concept
AND_82,,,AND
BLANK_84,,,BLANK
AND_83,,,AND
BLANK_85,,,BLANK
obo.CDNO_0200039,concentration of fructan in material entity,http://purl.obolibrary.org/obo/CDNO_0200039,Concept
AND_84,,,AND
BLANK_86,,,BLANK
AND_85,,,AND
BLANK_87,,,BLANK
obo.CDNO_0200012,concentration of monosaccharide in material entity,http://purl.obolibrary.org/obo/CDNO_0200012,Concept
AND_86,,,AND
BLANK_88,,,BLANK
AND_87,,,AND
BLANK_89,,,BLANK
obo.CDNO_0200013,concentration of glucose in material entity,http://purl.obolibrary.org/obo/CDNO_0200013,Concept
AND_88,,,AND
BLANK_90,,,BLANK
AND_89,,,AND
BLANK_91,,,BLANK
obo.CDNO_0200034,concentration of free sugar in material entity,http://purl.obolibrary.org/obo/CDNO_0200034,Concept
AND_90,,,AND
BLANK_92,,,BLANK
AND_91,,,AND
BLANK_93,,,BLANK
obo.CDNO_0200014,concentration of fructose in material entity,http://purl.obolibrary.org/obo/CDNO_0200014,Concept
AND_92,,,AND
BLANK_94,,,BLANK
AND_93,,,AND
BLANK_95,,,BLANK
obo.CDNO_0200703,concentration of ketohexose in material entity,http://purl.obolibrary.org/obo/CDNO_0200703,Concept
AND_94,,,AND
BLANK_96,,,BLANK
AND_95,,,AND
BLANK_97,,,BLANK
obo.CDNO_0200015,concentration of rhamnose in material entity,http://purl.obolibrary.org/obo/CDNO_0200015,Concept
AND_96,,,AND
BLANK_98,,,BLANK
AND_97,,,AND
BLANK_99,,,BLANK
obo.CDNO_0200016,concentration of D-apiose in material entity,http://purl.obolibrary.org/obo/CDNO_0200016,Concept
AND_98,,,AND
BLANK_100,,,BLANK
AND_99,,,AND
BLANK_101,,,BLANK
obo.CDNO_0200017,concentration of galacturonic acid in material entity,http://purl.obolibrary.org/obo/CDNO_0200017,Concept
AND_100,,,AND
BLANK_102,,,BLANK
AND_101,,,AND
BLANK_103,,,BLANK
obo.CDNO_0200018,concentration of fucose in material entity,http://purl.obolibrary.org/obo/CDNO_0200018,Concept
AND_102,,,AND
BLANK_104,,,BLANK
AND_103,,,AND
BLANK_105,,,BLANK
obo.CDNO_0200019,concentration of xylose in material entity,http://purl.obolibrary.org/obo/CDNO_0200019,Concept
AND_104,,,AND
BLANK_106,,,BLANK
AND_105,,,AND
BLANK_107,,,BLANK
obo.CDNO_0200020,concentration of arabinose in material entity,http://purl.obolibrary.org/obo/CDNO_0200020,Concept
AND_106,,,AND
BLANK_108,,,BLANK
AND_107,,,AND
BLANK_109,,,BLANK
